Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;1;42682;37194;14.08.2010;Aston Villa;West Ham
E0;1;31367;25000;14.08.2010;Blackburn;Everton
E0;1;28723;22870;14.08.2010;Bolton;Fulham
E0;1;42000;41435;14.08.2010;Chelsea;West Brom
E0;1;48707;40011;14.08.2010;Sunderland;Birmingham
E0;1;36284;35704;14.08.2010;Tottenham;Man City
E0;1;25133;16812;14.08.2010;Wigan;Blackpool
E0;1;32050;27696;14.08.2010;Wolves;Stoke
E0;1;45000;42820;15.08.2010;Liverpool;Arsenal
E0;1;75800;75109;16.08.2010;Man United;Newcastle
E0;1;60704;60025;21.08.2010;Arsenal;Blackpool
E0;1;29409;25462;21.08.2010;Birmingham;Blackburn
E0;1;39571;35934;21.08.2010;Everton;Wolves
E0;1;30089;26858;21.08.2010;Stoke;Tottenham
E0;1;26850;24683;21.08.2010;West Brom;Sunderland
E0;1;35345;33404;21.08.2010;West Ham;Bolton
E0;1;25133;16812;21.08.2010;Wigan;Chelsea
E0;1;25800;25043;22.08.2010;Fulham;Man United
E0;1;52338;47718;22.08.2010;Newcastle;Aston Villa
E0;1;48000;45905;23.08.2010;Man City;Liverpool
E0;1;31367;25000;28.08.2010;Blackburn;Arsenal
E0;1;16220;15780;28.08.2010;Blackpool;Fulham
E0;1;42000;41435;28.08.2010;Chelsea;Stoke
E0;1;75800;75109;28.08.2010;Man United;West Ham
E0;1;36284;35704;28.08.2010;Tottenham;Wigan
E0;1;32050;27696;28.08.2010;Wolves;Newcastle
E0;1;42682;37194;29.08.2010;Aston Villa;Everton
E0;1;28723;22870;29.08.2010;Bolton;Birmingham
E0;1;45000;42820;29.08.2010;Liverpool;West Brom
E0;1;48707;40011;29.08.2010;Sunderland;Man City
E0;1;60704;60025;11.09.2010;Arsenal;Bolton
E0;1;39571;35934;11.09.2010;Everton;Man United
E0;1;25800;25043;11.09.2010;Fulham;Wolves
E0;1;48000;45905;11.09.2010;Man City;Blackburn
E0;1;52338;47718;11.09.2010;Newcastle;Blackpool
E0;1;26850;24683;11.09.2010;West Brom;Tottenham
E0;1;35345;33404;11.09.2010;West Ham;Chelsea
E0;1;25133;16812;11.09.2010;Wigan;Sunderland
E0;1;29409;25462;12.09.2010;Birmingham;Liverpool
E0;1;30089;26858;13.09.2010;Stoke;Aston Villa
E0;1;42682;37194;18.09.2010;Aston Villa;Bolton
E0;1;31367;25000;18.09.2010;Blackburn;Fulham
E0;1;39571;35934;18.09.2010;Everton;Newcastle
E0;1;30089;26858;18.09.2010;Stoke;West Ham
E0;1;48707;40011;18.09.2010;Sunderland;Arsenal
E0;1;36284;35704;18.09.2010;Tottenham;Wolves
E0;1;26850;24683;18.09.2010;West Brom;Birmingham
E0;1;42000;41435;19.09.2010;Chelsea;Blackpool
E0;1;75800;75109;19.09.2010;Man United;Liverpool
E0;1;25133;16812;19.09.2010;Wigan;Man City
E0;1;60704;60025;25.09.2010;Arsenal;West Brom
E0;1;29409;25462;25.09.2010;Birmingham;Wigan
E0;1;16220;15780;25.09.2010;Blackpool;Blackburn
E0;1;25800;25043;25.09.2010;Fulham;Everton
E0;1;45000;42820;25.09.2010;Liverpool;Sunderland
E0;1;48000;45905;25.09.2010;Man City;Chelsea
E0;1;35345;33404;25.09.2010;West Ham;Tottenham
E0;1;28723;22870;26.09.2010;Bolton;Man United
E0;1;52338;47718;26.09.2010;Newcastle;Stoke
E0;1;32050;27696;26.09.2010;Wolves;Aston Villa
E0;1;29409;25462;02.10.2010;Birmingham;Everton
E0;1;30089;26858;02.10.2010;Stoke;Blackburn
E0;1;48707;40011;02.10.2010;Sunderland;Man United
E0;1;36284;35704;02.10.2010;Tottenham;Aston Villa
E0;1;26850;24683;02.10.2010;West Brom;Bolton
E0;1;35345;33404;02.10.2010;West Ham;Fulham
E0;1;25133;16812;02.10.2010;Wigan;Wolves
E0;1;42000;41435;03.10.2010;Chelsea;Arsenal
E0;1;45000;42820;03.10.2010;Liverpool;Blackpool
E0;1;48000;45905;03.10.2010;Man City;Newcastle
E0;1;60704;60025;16.10.2010;Arsenal;Birmingham
E0;1;42682;37194;16.10.2010;Aston Villa;Chelsea
E0;1;28723;22870;16.10.2010;Bolton;Stoke
E0;1;25800;25043;16.10.2010;Fulham;Tottenham
E0;1;75800;75109;16.10.2010;Man United;West Brom
E0;1;52338;47718;16.10.2010;Newcastle;Wigan
E0;1;32050;27696;16.10.2010;Wolves;West Ham
E0;1;16220;15780;17.10.2010;Blackpool;Man City
E0;1;39571;35934;17.10.2010;Everton;Liverpool
E0;1;31367;25000;18.10.2010;Blackburn;Sunderland
E0;1;29409;25462;23.10.2010;Birmingham;Blackpool
E0;1;42000;41435;23.10.2010;Chelsea;Wolves
E0;1;48707;40011;23.10.2010;Sunderland;Aston Villa
E0;1;36284;35704;23.10.2010;Tottenham;Everton
E0;1;26850;24683;23.10.2010;West Brom;Fulham
E0;1;35345;33404;23.10.2010;West Ham;Newcastle
E0;1;25133;16812;23.10.2010;Wigan;Bolton
E0;1;45000;42820;24.10.2010;Liverpool;Blackburn
E0;1;48000;45905;24.10.2010;Man City;Arsenal
E0;1;30089;26858;24.10.2010;Stoke;Man United
E0;1;60704;60025;30.10.2010;Arsenal;West Ham
E0;1;31367;25000;30.10.2010;Blackburn;Chelsea
E0;1;39571;35934;30.10.2010;Everton;Stoke
E0;1;25800;25043;30.10.2010;Fulham;Wigan
E0;1;75800;75109;30.10.2010;Man United;Tottenham
E0;1;32050;27696;30.10.2010;Wolves;Man City
E0;1;42682;37194;31.10.2010;Aston Villa;Birmingham
E0;1;28723;22870;31.10.2010;Bolton;Liverpool
E0;1;52338;47718;31.10.2010;Newcastle;Sunderland
E0;1;16220;15780;01.11.2010;Blackpool;West Brom
E0;1;29409;25462;06.11.2010;Birmingham;West Ham
E0;1;31367;25000;06.11.2010;Blackburn;Wigan
E0;1;16220;15780;06.11.2010;Blackpool;Everton
E0;1;28723;22870;06.11.2010;Bolton;Tottenham
E0;1;25800;25043;06.11.2010;Fulham;Aston Villa
E0;1;75800;75109;06.11.2010;Man United;Wolves
E0;1;48707;40011;06.11.2010;Sunderland;Stoke
E0;1;60704;60025;07.11.2010;Arsenal;Newcastle
E0;1;45000;42820;07.11.2010;Liverpool;Chelsea
E0;1;26850;24683;07.11.2010;West Brom;Man City
E0;1;30089;26858;09.11.2010;Stoke;Birmingham
E0;1;36284;35704;09.11.2010;Tottenham;Sunderland
E0;1;42682;37194;10.11.2010;Aston Villa;Blackpool
E0;1;42000;41435;10.11.2010;Chelsea;Fulham
E0;1;39571;35934;10.11.2010;Everton;Bolton
E0;1;48000;45905;10.11.2010;Man City;Man United
E0;1;52338;47718;10.11.2010;Newcastle;Blackburn
E0;1;35345;33404;10.11.2010;West Ham;West Brom
E0;1;25133;16812;10.11.2010;Wigan;Liverpool
E0;1;32050;27696;10.11.2010;Wolves;Arsenal
E0;1;42682;37194;13.11.2010;Aston Villa;Man United
E0;1;48000;45905;13.11.2010;Man City;Birmingham
