Spectators;Season;Capacity;New;Date;Time;HomeTeam;AwayTeam
16479;12;17250;16479;13.08.2021;20:00;Brentford;Arsenal
72732;12;74879;72732;14.08.2021;12:30;Man United;Leeds
16910;12;21994;16910;14.08.2021;15:00;Burnley;Brighton
38965;12;40853;38965;14.08.2021;15:00;Chelsea;Crystal Palace
38487;12;39571;38487;14.08.2021;15:00;Everton;Southampton
31983;12;32273;31983;14.08.2021;15:00;Leicester;Wolves
20051;12;21577;20051;14.08.2021;15:00;Watford;Aston Villa
27023;12;27244;27023;14.08.2021;17:30;Norwich;Liverpool
50673;12;52338;50673;15.08.2021;14:00;Newcastle;West Ham
58262;12;62062;58262;15.08.2021;16:30;Tottenham;Man City
52591;12;54074;52591;21.08.2021;12:30;Liverpool;Burnley
41964;12;42682;41964;21.08.2021;15:00;Aston Villa;Newcastle
23091;12;26047;23091;21.08.2021;15:00;Crystal Palace;Brentford
36293;12;37890;36293;21.08.2021;15:00;Leeds;Everton
51437;12;55017;51437;21.08.2021;15:00;Man City;Norwich
29485;12;31800;29485;21.08.2021;17:30;Brighton;Watford
29485;12;32384;29485;22.08.2021;14:00;Southampton;Man United
30368;12;32050;30368;22.08.2021;14:00;Wolves;Tottenham
58729;12;60704;58729;22.08.2021;16:30;Arsenal;Chelsea
59901;12;60000;59901;23.08.2021;20:00;West Ham;Leicester
52276;12;55017;52276;28.08.2021;12:30;Man City;Arsenal
42045;12;42682;42045;28.08.2021;15:00;Aston Villa;Brentford
30548;12;31800;30548;28.08.2021;15:00;Brighton;Everton
44017;12;52338;44017;28.08.2021;15:00;Newcastle;Southampton
26765;12;27244;26765;28.08.2021;15:00;Norwich;Leicester
59571;12;60000;59571;28.08.2021;15:00;West Ham;Crystal Palace
53100;12;54074;53100;28.08.2021;17:30;Liverpool;Chelsea
18665;12;21994;18665;29.08.2021;14:00;Burnley;Leeds
57672;12;62062;57672;29.08.2021;14:00;Tottenham;Watford
30621;12;32050;30621;29.08.2021;16:30;Wolves;Man United
22740;12;26047;22740;11.09.2021;12:30;Crystal Palace;Tottenham
60000;12;60704;60000;11.09.2021;15:00;Arsenal;Norwich
16518;12;17250;16518;11.09.2021;15:00;Brentford;Brighton
32087;12;32273;32087;11.09.2021;15:00;Leicester;Man City
72732;12;74879;72732;11.09.2021;15:00;Man United;Newcastle
30000;12;32384;30000;11.09.2021;15:00;Southampton;West Ham
20019;12;21577;20019;11.09.2021;15:00;Watford;Wolves
39969;12;40853;39969;11.09.2021;17:30;Chelsea;Aston Villa
36507;12;37890;36507;12.09.2021;16:30;Leeds;Liverpool
38354;12;39571;38354;13.09.2021;20:00;Everton;Burnley
