Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;31367;22551;13.08.2011;Blackburn;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25800;25293;13.08.2011;Fulham;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;13.08.2011;Liverpool;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;52338;49936;13.08.2011;Newcastle;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;18360;17295;13.08.2011;QPR;Bolton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25133;18634;13.08.2011;Wigan;Norwich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;30089;27226;14.08.2011;Stoke;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;26850;24798;14.08.2011;West Brom;Man United;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48000;47045;15.08.2011;Man City;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;20.08.2011;Arsenal;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42682;33873;20.08.2011;Aston Villa;Blackburn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42000;41478;20.08.2011;Chelsea;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;39571;33228;20.08.2011;Everton;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48707;39095;20.08.2011;Sunderland;Newcastle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;20.08.2011;Swansea;Wigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;28723;23670;21.08.2011;Bolton;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;21.08.2011;Norwich;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;32050;25682;21.08.2011;Wolves;Fulham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;75800;75387;22.08.2011;Man United;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42682;33873;27.08.2011;Aston Villa;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;31367;22551;27.08.2011;Blackburn;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
