Div;Season;Capacity;Spectators;Date;Time;HomeTeam;AwayTeam
E1;12;;;06.08.2021;19:45;Bournemouth;West Brom
E1;12;;;07.08.2021;15:00;Blackburn;Swansea
E1;12;;;07.08.2021;15:00;Bristol City;Blackpool
E1;12;;;07.08.2021;15:00;Cardiff;Barnsley
E1;12;;;07.08.2021;15:00;Derby;Huddersfield
E1;12;;;07.08.2021;15:00;Luton;Peterboro
E1;12;;;07.08.2021;15:00;Preston;Hull
E1;12;;;07.08.2021;15:00;QPR;Millwall
E1;12;;;07.08.2021;15:00;Stoke;Reading
E1;12;;;07.08.2021;20:00;Sheffield United;Birmingham
E1;12;;;08.08.2021;13:30;Fulham;Middlesbrough
E1;12;;;08.08.2021;16:30;Coventry;Nott'm Forest
E1;12;;;14.08.2021;12:30;Peterboro;Derby
E1;12;;;14.08.2021;15:00;Barnsley;Coventry
E1;12;;;14.08.2021;15:00;Birmingham;Stoke
E1;12;;;14.08.2021;15:00;Blackpool;Cardiff
E1;12;;;14.08.2021;15:00;Huddersfield;Fulham
E1;12;;;14.08.2021;15:00;Hull;QPR
E1;12;;;14.08.2021;15:00;Middlesbrough;Bristol City
E1;12;;;14.08.2021;15:00;Millwall;Blackburn
E1;12;;;14.08.2021;15:00;Nott'm Forest;Bournemouth
E1;12;;;14.08.2021;15:00;Reading;Preston
E1;12;;;14.08.2021;15:00;West Brom;Luton
E1;12;;;14.08.2021;20:00;Swansea;Sheffield United
E1;12;;;17.08.2021;19:45;Barnsley;Luton
E1;12;;;17.08.2021;19:45;Blackpool;Coventry
E1;12;;;17.08.2021;19:45;Huddersfield;Preston
E1;12;;;17.08.2021;19:45;Millwall;Fulham
E1;12;;;17.08.2021;19:45;Peterboro;Cardiff
E1;12;;;17.08.2021;19:45;Swansea;Stoke
E1;12;;;17.08.2021;20:00;Reading;Bristol City
E1;12;;;18.08.2021;19:45;Birmingham;Bournemouth
E1;12;;;18.08.2021;19:45;Hull;Derby
E1;12;;;18.08.2021;19:45;Middlesbrough;QPR
E1;12;;;18.08.2021;19:45;Nott'm Forest;Blackburn
E1;12;;;18.08.2021;20:00;West Brom;Sheffield United
E1;12;;;20.08.2021;19:45;Bristol City;Swansea
E1;12;;;21.08.2021;12:30;QPR;Barnsley
E1;12;;;21.08.2021;15:00;Blackburn;West Brom
