"","Division","Season","Capacity","Spectators","Covid","Occupancy","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","shotsDiff","shotsTargetDiff","pointsDiff","expPointsDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"1","E0",12,17250,16479,"No",0.955304347826087,"13/08/2021","Brentford","Arsenal",2,0,8,22,3,4,12,8,0,0,0,0,4.02,3.43,2.02,2.16,1.73,3,0,0.240262712569701,0.281590701029212,0.478146586401087,1.00237883873831,1.71603046023247,2,-14,-1,3,-0.71365162149416,4,0,0,0
"2","E0",12,74879,72732,"No",0.971327074346613,"14/08/2021","Man United","Leeds",5,1,16,10,8,3,11,9,1,2,0,0,1.55,4.48,5.87,1.65,2.29,3,0,0.621103870798605,0.214890848155767,0.164005281045628,2.07820246055158,0.706906691292652,4,6,5,3,1.37129576925893,2,-1,0,0
"3","E0",12,21994,16910,"No",0.768846048922433,"14/08/2021","Burnley","Brighton",1,2,14,14,3,8,10,7,2,1,0,0,3.19,3.09,2.49,2.46,1.57,0,3,0.301796872242031,0.311563761311352,0.386639366446617,1.21695437803744,1.4714818606512,-1,0,-5,-3,-0.25452748261376,3,1,0,0
"4","E0",12,40853,38965,"No",0.953785523706949,"14/08/2021","Chelsea","Crystal Palace",3,0,13,4,6,1,15,11,0,0,0,0,1.26,5.92,12.8,1.79,2.06,3,0,0.762616340858587,0.162313613088145,0.0750700460532672,2.45016263566391,0.387523751247947,3,9,5,3,2.06263888441596,4,0,0,0
"5","E0",12,39571,38487,"No",0.972606201511208,"14/08/2021","Everton","Southampton",3,1,14,6,6,3,13,15,2,0,0,0,1.97,3.53,4.04,2.07,1.79,3,0,0.488830846538539,0.272803616906777,0.238365536554684,1.73929615652239,0.987900226570828,2,8,3,3,0.751395929951566,-2,2,0,0
"6","E0",12,32273,31983,"No",0.991014160443715,"14/08/2021","Leicester","Wolves",1,0,9,17,5,3,6,10,1,2,0,0,1.71,3.75,5.32,2.04,1.81,3,0,0.562610512779296,0.256550393827359,0.180839093393345,1.94438193216525,0.799067674007394,1,-8,2,3,1.14531425815785,-4,-1,0,0
"7","E0",12,21577,20051,"No",0.929276544468647,"14/08/2021","Watford","Aston Villa",3,2,13,11,7,2,18,13,3,1,0,0,3.14,3.26,2.41,2.03,1.82,3,0,0.306176053374071,0.294905769200792,0.398918177425138,1.213433929323,1.4916603014762,1,2,5,3,-0.278226372153201,5,2,0,0
"8","E0",12,27244,27023,"No",0.991888122155337,"14/08/2021","Norwich","Liverpool",0,3,14,19,3,8,4,14,1,1,0,0,8.78,5.71,1.33,1.52,2.59,0,3,0.109419282333533,0.168248913990966,0.722331803675501,0.496506760991564,2.33524432501747,-3,-5,-5,-3,-1.83873756402591,-10,0,0,0
"9","E0",12,52338,50673,"No",0.968187550154763,"15/08/2021","Newcastle","West Ham",2,4,17,8,3,9,4,3,1,0,0,0,3.2,3.51,2.26,1.95,1.9,0,3,0.300515975542305,0.273974678557087,0.425509345900608,1.175522605184,1.55050271625891,-2,9,-6,-3,-0.374980111074911,1,1,0,0
"10","E0",12,62062,58262,"No",0.938770906512842,"15/08/2021","Tottenham","Man City",1,0,13,18,3,4,11,8,2,1,0,0,5.49,4.1,1.64,1.85,2.01,3,0,0.175852455500751,0.235470726999786,0.588676817499464,0.763028093502037,2.00150117949818,1,-5,-1,3,-1.23847308599614,3,1,0,0
