"","...1","Division","Season","Spectators","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","pointsDiff","expPointsDiff","shotsDiff","shotsTargetDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"1",1,"D1",10,"Yes","16.08.2019","Bayern Munich","Hertha",2,2,17,6,7,3,6,17,3,3,0,0,1.18,7.55,15.04,1.34,3.24,1,1,0.809881305087719,0.126577475497154,0.0635412194151269,2.55622139076031,0.317201133742534,0,0,2.23902025701778,11,4,-11,0,0,0
"2",2,"D1",10,"Yes","17.08.2019","Dortmund","Augsburg",5,1,23,5,10,1,8,6,0,0,0,0,1.22,6.62,13.38,1.43,2.79,3,0,0.784024160969271,0.144487836311558,0.0714880027191712,2.49656031921937,0.358951844469071,4,3,2.1376084747503,18,9,2,0,0,0
"3",3,"D1",10,"Yes","17.08.2019","Freiburg","Mainz",3,0,19,19,8,5,6,15,1,3,0,0,2.2,3.37,3.36,1.93,1.88,3,0,0.433354255009721,0.282901887543438,0.283743857446841,1.5829646525726,1.13413345988396,3,3,0.44883119268864,0,3,-9,-2,0,0
"4",4,"D1",10,"Yes","17.08.2019","Leverkusen","Paderborn",3,2,13,11,4,6,8,9,2,0,0,0,1.28,5.97,10.27,1.38,3.03,3,0,0.746803558138883,0.160118685832122,0.0930777560289942,2.40052936024877,0.439351953919105,1,3,1.96117740632967,2,-2,-1,2,0,0
"5",5,"D1",10,"Yes","17.08.2019","Werder Bremen","Fortuna Dusseldorf",1,3,23,12,10,7,8,13,0,2,0,0,1.74,3.93,4.57,1.67,2.21,0,3,0.548398325501296,0.242802312054009,0.208799362444695,1.8879972885579,0.869200399388093,-2,-3,1.0187968891698,11,3,-5,-2,0,0
"6",6,"D1",10,"Yes","17.08.2019","Wolfsburg","FC Koln",2,1,14,11,5,2,14,18,1,3,0,0,1.91,3.74,3.91,1.67,2.21,3,0,0.500203523870443,0.255451532243996,0.244344943885561,1.75606210385532,0.98848636390068,1,3,0.767575739954643,3,3,-4,-2,0,0
"7",7,"D1",10,"Yes","17.08.2019","M'gladbach","Schalke 04",0,0,16,8,4,1,8,10,3,2,0,0,2.06,3.49,3.6,1.78,2.04,1,1,0.462432000706677,0.272954132222279,0.264613867071043,1.66025013434231,1.06679573343541,0,0,0.593454400906903,8,3,-2,1,0,0
"8",8,"D1",10,"Yes","18.08.2019","Ein Frankfurt","Hoffenheim",1,0,17,10,8,1,16,9,3,1,0,0,2.32,3.65,2.92,1.54,2.46,3,0,0.411499436302142,0.261555806087937,0.326944757609921,1.49605411499436,1.2423900789177,1,3,0.253664036076663,7,7,7,2,0,0
"9",9,"D1",10,"Yes","18.08.2019","Union Berlin","RB Leipzig",0,4,13,14,2,8,14,5,1,0,0,0,4.63,4.02,1.72,1.71,2.13,0,3,0.206457931479281,0.237786125061958,0.555755943458762,0.8571599194998,1.90505395543824,-4,-3,-1.04789403593844,-1,-6,9,1,0,0
"10",10,"D1",10,"Yes","23.08.2019","FC Koln","Dortmund",1,3,13,14,1,6,11,10,2,1,0,0,6.18,4.74,1.48,1.45,2.73,0,3,0.1543335357322,0.20121967316983,0.64444679109797,0.66422028036643,2.13456004646374,-2,-3,-1.47033976609731,-1,-5,1,1,0,0
"11",11,"D1",10,"Yes","24.08.2019","Augsburg","Union Berlin",1,1,12,13,4,1,16,19,3,1,0,1,2.24,3.32,3.31,1.95,1.86,1,1,0.425272054612158,0.286930542870853,0.287797402516989,1.56274670670733,1.15032275042182,0,0,0.412423956285506,-1,3,-3,2,-1,0
"12",12,"D1",10,"Yes","24.08.2019","Fortuna Dusseldorf","Leverkusen",1,3,11,11,6,7,14,10,3,2,0,0,4.36,4.2,1.72,1.46,2.69,0,3,0.218675836683295,0.227006344747421,0.554317818569284,0.883033854797307,1.88995980045527,-2,-3,-1.00692594565797,0,-1,4,1,0,0
"13",13,"D1",10,"Yes","24.08.2019","Hoffenheim","Werder Bremen",3,2,10,18,3,6,13,15,2,5,0,1,1.88,3.92,3.83,1.49,2.62,3,0,0.50749739720656,0.243391608864371,0.249110993929069,1.76588380048405,0.990724590651577,1,3,0.775159209832475,-8,-3,-2,-3,-1,0
"14",14,"D1",10,"Yes","24.08.2019","Mainz","M'gladbach",1,3,21,15,4,6,12,14,2,2,0,0,2.86,3.42,2.46,1.8,2.03,0,3,0.33346016646849,0.278858501783591,0.387681331747919,1.27923900118906,1.44190249702735,-2,-3,-0.162663495838288,6,-2,-2,0,0,0
"15",15,"D1",10,"Yes","24.08.2019","Paderborn","Freiburg",1,3,15,9,2,4,20,6,3,1,0,0,2.38,3.6,2.84,1.61,2.31,0,3,0.400137762609975,0.264535520836595,0.33532671655343,1.46494880866652,1.27051567049688,-2,-3,0.194433138169636,6,-2,14,2,0,0
"16",16,"D1",10,"Yes","24.08.2019","Schalke 04","Bayern Munich",0,3,9,10,2,6,11,10,0,0,0,0,8.12,4.93,1.38,1.59,2.35,0,3,0.117217947436794,0.193064854601779,0.689717197961427,0.544718696912161,2.26221644848606,-3,-3,-1.7174977515739,-1,-4,1,0,0,0
"17",17,"D1",10,"Yes","25.08.2019","RB Leipzig","Ein Frankfurt",2,1,13,11,5,5,10,13,2,3,0,0,1.49,4.63,6.06,1.5,2.59,3,0,0.637881684812633,0.205279419086571,0.156838896100796,2.11892447352447,0.675796107388959,1,3,1.44312836613551,2,0,-3,-1,0,0
